-0.825,-0.9,0.342857143,0,0
-0.7875,-0.9,0.342857143,1.54E-05,1.54E-05
-0.7875,-0.883333333,0.342857143,0,0
-0.7875,-0.866666667,0.342857143,1.54E-05,1.54E-05
-0.75,-0.9,0.342857143,0,0
-0.75,-0.883333333,0.342857143,0,0
-0.75,-0.866666667,0.342857143,3.09E-05,3.09E-05
-0.75,-0.85,0.342857143,4.63E-05,4.63E-05
-0.75,-0.833333333,0.342857143,0.000113455,9.61E-05
-0.75,-0.833333333,0.342857143,0.000106591,9.61E-05
-0.75,-0.833333333,0.342857143,0.000115086,9.61E-05
-0.75,-0.816666667,0.342857143,6.18E-05,6.18E-05
-0.75,-0.8,0.342857143,1.54E-05,1.54E-05
-0.7125,-0.866666667,0.342857143,0,0
-0.7125,-0.85,0.342857143,1.54E-05,1.54E-05
-0.7125,-0.833333333,0.342857143,0.000177925,0.000155178
-0.7125,-0.833333333,0.342857143,0.000150793,0.000155178
-0.7125,-0.833333333,0.342857143,0.000150793,0.000155178
-0.7125,-0.816666667,0.342857143,0.000303949,0.00020364
-0.7125,-0.816666667,0.342857143,0.000282641,0.00020364
-0.7125,-0.816666667,0.342857143,0.000250172,0.00020364
-0.7125,-0.8,0.342857143,0.000553472,0.000473279
-0.7125,-0.8,0.342857143,0.00050066,0.000473279
-0.7125,-0.8,0.342857143,0.000500538,0.000473279
-0.7125,-0.783333333,0.342857143,0.000506062,0.000456519
-0.7125,-0.783333333,0.342857143,0.00039957,0.000456519
-0.7125,-0.783333333,0.342857143,0.000408877,0.000456519
-0.7125,-0.766666667,0.342857143,0.000437179,0.000465535
-0.7125,-0.766666667,0.342857143,0.000416308,0.000465535
-0.7125,-0.766666667,0.342857143,0.000477782,0.000465535
-0.7125,-0.75,0.342857143,0.000210582,0.000232768
-0.7125,-0.75,0.342857143,0.000198902,0.000232768
-0.7125,-0.75,0.342857143,0.000265559,0.000232768
-0.7125,-0.733333333,0.342857143,0.000181107,0.000186214
