Z,A,E,Yield,Error
-0.6,-0.6,0.2,0.000362379,1.18E-06
-0.6,-0.583333333,0.2,2.53E-05,1.00E-07
-0.6,-0.566666667,0.2,2.15E-06,9.68E-09
-0.6,-0.55,0.2,3.20E-07,1.26E-09
-0.6,-0.533333333,0.2,4.93E-11,2.47E-13
-0.6,-0.516666667,0.2,6.19E-09,3.10E-11
-0.6,-0.5,0.2,1.76E-11,8.77E-14
-0.6,-0.483333334,0.2,0,0
-0.5625,-0.816666666,0.2,0,0
-0.5625,-0.8,0.2,0,0
-0.5625,-0.783333333,0.2,2.04E-14,8.45E-17
-0.5625,-0.766666667,0.2,7.81E-12,3.91E-14
-0.5625,-0.75,0.2,4.80E-10,1.73E-12
-0.5625,-0.733333333,0.2,1.46E-08,5.94E-11
-0.5625,-0.716666667,0.2,3.63E-07,9.73E-10
-0.5625,-0.7,0.2,6.85E-06,2.40E-08
-0.5625,-0.683333333,0.2,0.000131845,2.82E-07
-0.5625,-0.666666667,0.2,0.001022584,1.66E-06
-0.5625,-0.65,0.2,0.003620761,3.10E-06
-0.5625,-0.633333333,0.2,0.016348989,8.49E-06
-0.5625,-0.616666667,0.2,0.020267229,1.85E-05
-0.5625,-0.6,0.2,0.019035308,3.21E-05
-0.5625,-0.583333333,0.2,0.006108339,2.73E-05
-0.5625,-0.566666667,0.2,0.002614964,1.27E-05
-0.5625,-0.55,0.2,0.000428661,1.71E-06
-0.5625,-0.533333333,0.2,5.33E-06,1.85E-08
-0.5625,-0.516666667,0.2,1.96E-05,7.01E-08
-0.5625,-0.5,0.2,5.45E-07,2.73E-09
-0.5625,-0.483333334,0.2,1.39E-10,6.96E-13
-0.5625,-0.466666667,0.2,2.44E-12,1.22E-14
-0.5625,-0.45,0.2,1.54E-13,7.75E-16
-0.525,-0.766666667,0.2,0,0
-0.525,-0.75,0.2,0,0
-0.525,-0.733333333,0.2,1.81E-12,9.02E-15
-0.525,-0.716666667,0.2,2.05E-10,7.72E-13
-0.525,-0.7,0.2,1.10E-08,4.17E-11
-0.525,-0.683333333,0.2,8.34E-07,2.93E-09
-0.525,-0.666666667,0.2,0.000143698,4.78E-07
-0.525,-0.65,0.2,0.000375443,1.21E-06
-0.525,-0.633333333,0.2,0.001741947,4.71E-06
-0.525,-0.616666667,0.2,0.008905863,1.69E-05
-0.525,-0.6,0.2,0.02418806,3.05E-05
-0.525,-0.583333333,0.2,0.045279742,4.23E-05
-0.525,-0.566666667,0.2,0.031846307,8.01E-05
-0.525,-0.55,0.2,0.016968861,6.88E-05
-0.525,-0.533333333,0.2,0.002352729,8.51E-06
-0.525,-0.516666667,0.2,0.004824208,1.76E-05
-0.525,-0.5,0.2,0.000395524,1.53E-06
-0.525,-0.483333334,0.2,3.71E-06,1.45E-08
-0.525,-0.466666667,0.2,8.23E-08,3.15E-10
-0.525,-0.45,0.2,3.26E-08,1.64E-10
-0.525,-0.433333333,0.2,2.12E-09,1.05E-11
-0.525,-0.416666666,0.2,8.31E-13,4.15E-15
-0.525,-0.4,0.2,0,0
-0.525,-0.383333333,0.2,0,0
-0.4875,-0.733333333,0.2,0,0
-0.4875,-0.716666667,0.2,0,0
-0.4875,-0.7,0.2,1.22E-12,6.08E-15
-0.4875,-0.683333333,0.2,2.12E-10,5.81E-13
-0.4875,-0.666666667,0.2,1.68E-08,5.67E-11
-0.4875,-0.65,0.2,1.64E-06,4.60E-09
-0.4875,-0.633333333,0.2,7.16E-05,2.21E-07
-0.4875,-0.616666667,0.2,0.00141047,3.18E-06
-0.4875,-0.6,0.2,0.006518182,1.42E-05
-0.4875,-0.583333333,0.2,0.028349262,3.22E-05
-0.4875,-0.566666667,0.2,0.110797015,7.03E-05
-0.4875,-0.55,0.2,0.14990158,8.95E-05
-0.4875,-0.533333333,0.2,0.179531988,0.000178603
-0.4875,-0.516666667,0.2,0.09271104,0.000238581
-0.4875,-0.5,0.2,0.032115564,0.000129584
-0.4875,-0.483333334,0.2,0.00340155,1.37E-05
-0.4875,-0.466666667,0.2,0.000719439,2.77E-06
-0.4875,-0.45,0.2,0.000168462,5.94E-07
-0.4875,-0.433333333,0.2,2.32E-05,8.07E-08
-0.4875,-0.416666666,0.2,6.89E-08,3.44E-10
-0.4875,-0.4,0.2,5.19E-09,2.59E-11
-0.4875,-0.383333333,0.2,4.00E-12,2.01E-14
-0.4875,-0.366666667,0.2,3.38E-13,1.68E-15
-0.45,-0.683333333,0.2,0,0
-0.45,-0.666666667,0.2,1.91E-13,9.60E-16
-0.45,-0.65,0.2,2.38E-10,6.33E-13
-0.45,-0.633333333,0.2,1.91E-08,4.68E-11
-0.45,-0.616666667,0.2,1.22E-06,4.01E-09
-0.45,-0.6,0.2,1.76E-05,4.44E-08
-0.45,-0.583333333,0.2,0.003076461,1.19E-05
-0.45,-0.566666667,0.2,0.009452003,2.88E-05
