A_physical,E_group,Yield_physical
65.99999998,0.000 MeV,7.21711989066806e-08
65.99999998,0.525 MeV,7.229693059356014e-07
65.99999998,14.000 MeV,0.00028918072540588005
67.0,0.000 MeV,3.615229233182667e-07
67.0,0.525 MeV,2.3145727870550003e-06
67.0,14.000 MeV,0.0006058348369508734
68.00000002,0.000 MeV,7.169897648399167e-07
68.00000002,0.525 MeV,4.029220623696634e-06
68.00000002,14.000 MeV,0.0008031827298276668
69.00000004,0.000 MeV,1.5738007376388844e-06
69.00000004,0.525 MeV,8.698050224312738e-06
69.00000004,14.000 MeV,0.0012523661453647031
70.0,0.000 MeV,3.6717131112373667e-06
70.0,0.525 MeV,1.8896524674670335e-05
70.0,14.000 MeV,0.002312769414993707
71.00000002000002,0.000 MeV,8.461491540450535e-06
71.00000002000002,0.525 MeV,4.646924598666667e-05
71.00000002000002,14.000 MeV,0.003962516585192667
71.99999998000001,0.000 MeV,2.6703703584527403e-05
71.99999998000001,0.525 MeV,0.00016628018475374506
71.99999998000001,14.000 MeV,0.006036906545185367
73.00000000000001,0.000 MeV,8.928234351106552e-05
73.00000000000001,0.525 MeV,0.0005245587213273334
73.00000000000001,14.000 MeV,0.01108989606289265
74.00000002,0.000 MeV,0.0003395101940854967
74.00000002,0.525 MeV,0.001189848878300428
74.00000002,14.000 MeV,0.017079171644736275
74.99999998,0.000 MeV,0.0010673148685260239
74.99999998,0.525 MeV,0.003529848991447116
74.99999998,14.000 MeV,0.027096480108812167
76.00000000000001,0.000 MeV,0.003097443403680754
76.00000000000001,0.525 MeV,0.017576535971686184
76.00000000000001,14.000 MeV,0.039893402048619846
77.00000002000002,0.000 MeV,0.014062126631572787
77.00000002000002,0.525 MeV,0.031807445884829276
77.00000002000002,14.000 MeV,0.06565281507713565
77.99999998000001,0.000 MeV,0.025938492504502468
77.99999998000001,0.525 MeV,0.057117635539777376
77.99999998000001,14.000 MeV,0.10003968788243878
79.00000000000001,0.000 MeV,0.06833797943970067
79.00000000000001,0.525 MeV,0.09085622615117413
79.00000000000001,14.000 MeV,0.16837800267574632
80.00000002000002,0.000 MeV,0.2617501962129918
80.00000002000002,0.525 MeV,0.17595437151790175
80.00000002000002,14.000 MeV,0.2526643187767737
80.99999998,0.000 MeV,0.5507075900950682
80.99999998,0.525 MeV,0.22799796540665748
80.99999998,14.000 MeV,0.33099924091279836
82.0,0.000 MeV,1.325647742239545
82.0,0.525 MeV,0.3401931771249477
82.0,14.000 MeV,0.5960049069961735
83.00000002,0.000 MeV,2.3235076129491685
83.00000002,0.525 MeV,0.5767904421467234
83.00000002,14.000 MeV,1.1043597276290644
83.99999998000001,0.000 MeV,3.5152283850803596
83.99999998000001,0.525 MeV,1.0308130613445048
83.99999998000001,14.000 MeV,1.382503543903861
85.0,0.000 MeV,7.347891228360272
85.0,0.525 MeV,1.3637843694174279
85.0,14.000 MeV,1.8010812506590035
86.00000002000002,0.000 MeV,7.984589027143005
86.00000002000002,0.525 MeV,1.9468387391029867
86.00000002000002,14.000 MeV,1.7912301863344693
