Z,A,E,Yield,Error,Z_physical,A_physical,E_physical,Yield_physical,Error_physical,E_group
-0.75,-0.716666667,0.2,4.43e-11,2.21e-13,27.0,74.99999998,2.5300000659831888e-08,2.869015666666667e-10,1.4312696666666667e-12,0.000 MeV
-0.75,-0.7,0.2,3.72e-12,1.87e-14,27.0,76.00000000000001,2.5300000659831888e-08,2.4091960000000005e-11,1.2110743333333334e-13,0.000 MeV
-0.75,-0.683333333,0.2,1.57e-13,7.86e-16,27.0,77.00000002000002,2.5300000659831888e-08,1.0167843333333334e-12,5.0903980000000004e-15,0.000 MeV
-0.75,-0.666666667,0.2,3.06e-15,1.53e-17,27.0,77.99999998000001,2.5300000659831888e-08,1.981758e-14,9.908790000000002e-17,0.000 MeV
-0.7125,-0.866666667,0.2,1.04e-09,1.09e-11,27.999999999999996,65.99999998,2.5300000659831888e-08,6.735386666666667e-09,7.059203333333334e-11,0.000 MeV
-0.7125,-0.85,0.2,1.3e-08,1.3e-10,27.999999999999996,67.0,2.5300000659831888e-08,8.419233333333335e-08,8.419233333333334e-10,0.000 MeV
-0.7125,-0.833333333,0.2,5.53e-08,3.78e-10,27.999999999999996,68.00000002,2.5300000659831888e-08,3.581412333333334e-07,2.448054e-09,0.000 MeV
-0.7125,-0.816666666,0.2,1.61e-07,9.09e-10,27.999999999999996,69.00000004,2.5300000659831888e-08,1.0426896666666668e-06,5.886987000000001e-09,0.000 MeV
-0.7125,-0.8,0.2,4.57e-07,1.33e-09,27.999999999999996,70.0,2.5300000659831888e-08,2.9596843333333333e-06,8.613523333333334e-09,0.000 MeV
-0.7125,-0.783333333,0.2,8.28e-07,4.88e-09,27.999999999999996,71.00000002000002,2.5300000659831888e-08,5.362404000000001e-06,3.160450666666667e-08,0.000 MeV
-0.7125,-0.766666667,0.2,1.92e-06,1.27e-08,27.999999999999996,71.99999998000001,2.5300000659831888e-08,1.243456e-05,8.224943333333335e-08,0.000 MeV
-0.7125,-0.75,0.2,3.12e-07,1.27e-09,27.999999999999996,73.00000000000001,2.5300000659831888e-08,2.020616e-06,8.224943333333335e-09,0.000 MeV
-0.7125,-0.733333333,0.2,1.41e-07,5.71e-10,27.999999999999996,74.00000002,2.5300000659831888e-08,9.131630000000001e-07,3.697986333333334e-09,0.000 MeV
-0.7125,-0.716666667,0.2,1.95e-07,7.32e-10,27.999999999999996,74.99999998,2.5300000659831888e-08,1.2628850000000002e-06,4.740676e-09,0.000 MeV
-0.7125,-0.7,0.2,5.1e-08,1.93e-10,27.999999999999996,76.00000000000001,2.5300000659831888e-08,3.3029300000000006e-07,1.2499323333333334e-09,0.000 MeV
-0.7125,-0.683333333,0.2,1.39e-08,4.89e-11,27.999999999999996,77.00000002000002,2.5300000659831888e-08,9.002103333333335e-08,3.1669270000000005e-10,0.000 MeV
-0.7125,-0.666666667,0.2,1.7e-09,8.46e-12,27.999999999999996,77.99999998000001,2.5300000659831888e-08,1.1009766666666667e-08,5.4789780000000014e-11,0.000 MeV
-0.7125,-0.65,0.2,0.0,0.0,27.999999999999996,79.00000000000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.7125,-0.633333333,0.2,8.79e-14,4.39e-16,27.999999999999996,80.00000002000002,2.5300000659831888e-08,5.692697000000001e-13,2.8431103333333334e-15,0.000 MeV
-0.7125,-0.616666667,0.2,0.0,0.0,27.999999999999996,80.99999998,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.7125,-0.6,0.2,0.0,0.0,27.999999999999996,82.0,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.675,-0.866666667,0.2,1.3e-12,6.49e-15,29.0,65.99999998,2.5300000659831888e-08,8.419233333333334e-12,4.203140333333334e-14,0.000 MeV
-0.675,-0.85,0.2,1.53e-10,1.64e-12,29.0,67.0,2.5300000659831888e-08,9.90879e-10,1.0621186666666668e-11,0.000 MeV
-0.675,-0.833333333,0.2,1.67e-09,1.49e-11,29.0,68.00000002,2.5300000659831888e-08,1.0815476666666669e-08,9.649736666666669e-11,0.000 MeV
-0.675,-0.816666666,0.2,2.59e-08,2.69e-10,29.0,69.00000004,2.5300000659831888e-08,1.6773703333333335e-07,1.742133666666667e-09,0.000 MeV
-0.675,-0.8,0.2,7.16e-08,5e-10,29.0,70.0,2.5300000659831888e-08,4.6370546666666674e-07,3.2381666666666673e-09,0.000 MeV
-0.675,-0.783333333,0.2,4.23e-07,3.88e-09,29.0,71.00000002000002,2.5300000659831888e-08,2.7394890000000005e-06,2.5128173333333336e-08,0.000 MeV
-0.675,-0.766666667,0.2,1.4e-06,1.17e-08,29.0,71.99999998000001,2.5300000659831888e-08,9.066866666666668e-06,7.577310000000002e-08,0.000 MeV
-0.675,-0.75,0.2,1.12e-05,2.17e-08,29.0,73.00000000000001,2.5300000659831888e-08,7.253493333333334e-05,1.4053643333333334e-07,0.000 MeV
-0.675,-0.733333333,0.2,4.23e-06,1.53e-08,29.0,74.00000002,2.5300000659831888e-08,2.7394890000000004e-05,9.908790000000001e-08,0.000 MeV
-0.675,-0.716666667,0.2,1.38e-05,4.9e-08,29.0,74.99999998,2.5300000659831888e-08,8.937340000000001e-05,3.173403333333334e-07,0.000 MeV
-0.675,-0.7,0.2,4.54e-06,1.28e-08,29.0,76.00000000000001,2.5300000659831888e-08,2.9402553333333337e-05,8.289706666666668e-08,0.000 MeV
-0.675,-0.683333333,0.2,4.66e-06,1.63e-08,29.0,77.00000002000002,2.5300000659831888e-08,3.0179713333333337e-05,1.0556423333333336e-07,0.000 MeV
-0.675,-0.666666667,0.2,2.97e-06,9.97e-09,29.0,77.99999998000001,2.5300000659831888e-08,1.923471e-05,6.456904333333334e-08,0.000 MeV
-0.675,-0.65,0.2,1.82e-07,6.07e-10,29.0,79.00000000000001,2.5300000659831888e-08,1.1786926666666667e-06,3.9311343333333335e-09,0.000 MeV
