A_physical,E_physical,Yield_pred
65.99999998,0.0,6.2924715e-07
65.99999998,1.0,6.3404735e-07
65.99999998,2.0,8.3343497e-07
65.99999998,3.0,1.9999773e-06
65.99999998,4.0,5.821894e-06
65.99999998,5.0,1.18651815e-05
65.99999998,6.0,2.1600223e-05
65.99999998,7.0,3.779696e-05
65.99999998,8.0,6.098258e-05
65.99999998,9.0,9.162161e-05
65.99999998,10.0,0.00013657057
65.99999998,11.0,0.00021550972
65.99999998,12.0,0.00034018146
65.99999998,13.0,0.00045532195
65.99999998,14.0,0.0005437309
67.0,0.0,1.8836879e-06
67.0,1.0,4.1894964e-06
67.0,2.0,9.325513e-06
67.0,3.0,1.8986655e-05
67.0,4.0,3.406103e-05
67.0,5.0,5.4774333e-05
67.0,6.0,7.824261e-05
67.0,7.0,0.000100387435
67.0,8.0,0.00012755362
67.0,9.0,0.00017622841
67.0,10.0,0.00027580484
67.0,11.0,0.0004419335
67.0,12.0,0.00064019975
67.0,13.0,0.00081573933
67.0,14.0,0.0009837896
68.00000002,0.0,2.2716044e-06
68.00000002,1.0,2.4045494e-06
68.00000002,2.0,2.9463295e-06
68.00000002,3.0,4.429371e-06
68.00000002,4.0,7.2328185e-06
68.00000002,5.0,1.4155645e-05
68.00000002,6.0,3.1211435e-05
68.00000002,7.0,6.118138e-05
68.00000002,8.0,0.00011725418
68.00000002,9.0,0.00021285153
68.00000002,10.0,0.0003307552
68.00000002,11.0,0.00046079315
68.00000002,12.0,0.0006709893
68.00000002,13.0,0.000907702
68.00000002,14.0,0.0012443273
69.00000004,0.0,4.1621047e-06
69.00000004,1.0,7.2720118e-06
69.00000004,2.0,1.1877079e-05
69.00000004,3.0,1.798949e-05
69.00000004,4.0,2.8262479e-05
69.00000004,5.0,5.035079e-05
69.00000004,6.0,0.00010184105
69.00000004,7.0,0.00019464504
69.00000004,8.0,0.00028811287
69.00000004,9.0,0.00039005562
69.00000004,10.0,0.00046678286
69.00000004,11.0,0.0006161556
69.00000004,12.0,0.00087636866
69.00000004,13.0,0.0011986813
69.00000004,14.0,0.0015874283
70.0,0.0,3.468472e-06
70.0,1.0,5.935117e-06
70.0,2.0,1.21174435e-05
70.0,3.0,3.0471005e-05
70.0,4.0,7.032862e-05
70.0,5.0,0.00012097441
70.0,6.0,0.00016993232
70.0,7.0,0.00022481372
70.0,8.0,0.00033446756
70.0,9.0,0.0005836859
70.0,10.0,0.0010212752
70.0,11.0,0.0015159516
70.0,12.0,0.0019017624
70.0,13.0,0.0022393058
70.0,14.0,0.002605698
71.00000002000002,0.0,5.14552e-06
71.00000002000002,1.0,1.119861e-05
71.00000002000002,2.0,3.1964224e-05
71.00000002000002,3.0,8.213492e-05
71.00000002000002,4.0,0.00013732782
71.00000002000002,5.0,0.00019714895
71.00000002000002,6.0,0.000302826
71.00000002000002,7.0,0.00050829153
71.00000002000002,8.0,0.00085231976
71.00000002000002,9.0,0.0012599966
71.00000002000002,10.0,0.0016236216
71.00000002000002,11.0,0.0020186699
71.00000002000002,12.0,0.0025649783
71.00000002000002,13.0,0.0029190755
71.00000002000002,14.0,0.0032687765
71.99999998000001,0.0,6.3864696e-05
71.99999998000001,1.0,0.00014111321
71.99999998000001,2.0,0.00025809012
71.99999998000001,3.0,0.0003608626
71.99999998000001,4.0,0.00043943163
71.99999998000001,5.0,0.00055499066
71.99999998000001,6.0,0.00080380315
71.99999998000001,7.0,0.0013048251
71.99999998000001,8.0,0.0021509973
71.99999998000001,9.0,0.0032292271
71.99999998000001,10.0,0.0043012495
71.99999998000001,11.0,0.005504791
71.99999998000001,12.0,0.0067652
71.99999998000001,13.0,0.008187682
71.99999998000001,14.0,0.010030032
73.00000000000001,0.0,0.00014538465
73.00000000000001,1.0,0.0002307571
73.00000000000001,2.0,0.0003475623
73.00000000000001,3.0,0.00052356214
73.00000000000001,4.0,0.00078816654
73.00000000000001,5.0,0.001159758
73.00000000000001,6.0,0.0017609375
73.00000000000001,7.0,0.0028588907
73.00000000000001,8.0,0.0047838674
73.00000000000001,9.0,0.007325598
73.00000000000001,10.0,0.010032669
73.00000000000001,11.0,0.012500671
73.00000000000001,12.0,0.014673212
73.00000000000001,13.0,0.017200971
73.00000000000001,14.0,0.018584313
74.00000002,0.0,0.00042655764
74.00000002,1.0,0.0005885405
74.00000002,2.0,0.0010650745
74.00000002,3.0,0.0022177505
74.00000002,4.0,0.0041755885
74.00000002,5.0,0.0065468196
74.00000002,6.0,0.008729929
74.00000002,7.0,0.010434395
74.00000002,8.0,0.011675306
74.00000002,9.0,0.01220622
74.00000002,10.0,0.01342198
74.00000002,11.0,0.016159445
74.00000002,12.0,0.019732917
74.00000002,13.0,0.024565758
74.00000002,14.0,0.030971615
74.99999998,0.0,0.0019623877
74.99999998,1.0,0.0030971428
74.99999998,2.0,0.004923493
74.99999998,3.0,0.0075849667
74.99999998,4.0,0.010646212
74.99999998,5.0,0.0132007655
74.99999998,6.0,0.014916338
74.99999998,7.0,0.01600668
74.99999998,8.0,0.0165815
74.99999998,9.0,0.016915247
74.99999998,10.0,0.01852271
74.99999998,11.0,0.021119753
74.99999998,12.0,0.024168273
74.99999998,13.0,0.02900943
74.99999998,14.0,0.036758095
76.00000000000001,0.0,0.0047839424
76.00000000000001,1.0,0.0073622884
76.00000000000001,2.0,0.011728601
76.00000000000001,3.0,0.01752862
76.00000000000001,4.0,0.023196239
76.00000000000001,5.0,0.027764922
76.00000000000001,6.0,0.031006373
76.00000000000001,7.0,0.03437893
76.00000000000001,8.0,0.03990313
76.00000000000001,9.0,0.047196336
76.00000000000001,10.0,0.05542635
76.00000000000001,11.0,0.06384735
76.00000000000001,12.0,0.07144898
76.00000000000001,13.0,0.07725615
76.00000000000001,14.0,0.08091715
77.00000002000002,0.0,0.011803103
77.00000002000002,1.0,0.020427994
77.00000002000002,2.0,0.02988767
77.00000002000002,3.0,0.037730347
77.00000002000002,4.0,0.04232476
77.00000002000002,5.0,0.047749046
77.00000002000002,6.0,0.05697287
77.00000002000002,7.0,0.068355136
77.00000002000002,8.0,0.08241737
77.00000002000002,9.0,0.09907584
77.00000002000002,10.0,0.11520314
77.00000002000002,11.0,0.12763008
77.00000002000002,12.0,0.13604619
77.00000002000002,13.0,0.14097056
77.00000002000002,14.0,0.14157252
77.99999998000001,0.0,0.036627702
77.99999998000001,1.0,0.046881415
77.99999998000001,2.0,0.05643363
77.99999998000001,3.0,0.06864255
77.99999998000001,4.0,0.08426569
77.99999998000001,5.0,0.10068329
77.99999998000001,6.0,0.11505573
77.99999998000001,7.0,0.12864737
77.99999998000001,8.0,0.14288552
77.99999998000001,9.0,0.1584685
77.99999998000001,10.0,0.17446367
77.99999998000001,11.0,0.18494916
77.99999998000001,12.0,0.18716112
77.99999998000001,13.0,0.18579316
77.99999998000001,14.0,0.1828537
79.00000000000001,0.0,0.06422715
79.00000000000001,1.0,0.08678174
79.00000000000001,2.0,0.11371625
79.00000000000001,3.0,0.14478904
79.00000000000001,4.0,0.18095617
79.00000000000001,5.0,0.22527696
79.00000000000001,6.0,0.2856666
79.00000000000001,7.0,0.35681468
79.00000000000001,8.0,0.41407686
79.00000000000001,9.0,0.443789
79.00000000000001,10.0,0.44849554
79.00000000000001,11.0,0.43565723
79.00000000000001,12.0,0.41021752
79.00000000000001,13.0,0.37739858
79.00000000000001,14.0,0.3427002
80.00000002000002,0.0,0.18633153
80.00000002000002,1.0,0.22734565
80.00000002000002,2.0,0.27977392
80.00000002000002,3.0,0.34069756
80.00000002000002,4.0,0.4062191
80.00000002000002,5.0,0.47232628
80.00000002000002,6.0,0.5407455
80.00000002000002,7.0,0.62088495
80.00000002000002,8.0,0.7040047
80.00000002000002,9.0,0.75967246
80.00000002000002,10.0,0.7678552
80.00000002000002,11.0,0.7350159
80.00000002000002,12.0,0.67836714
80.00000002000002,13.0,0.61185735
80.00000002000002,14.0,0.5408548
80.99999998,0.0,0.3508119
80.99999998,1.0,0.42895922
80.99999998,2.0,0.51638997
80.99999998,3.0,0.61193824
80.99999998,4.0,0.69559276
