Z_physical,E_physical,Yield_pred
23.0,0.0,-1.8568335e-12
23.0,1.0,9.800201e-13
23.0,2.0,3.3114173e-12
23.0,3.0,2.7031342e-12
23.0,4.0,6.65405e-13
23.0,5.0,5.249705e-13
23.0,6.0,4.565436e-12
23.0,7.0,1.8094361e-11
23.0,8.0,4.9320676e-11
23.0,9.0,9.2650956e-11
23.0,10.0,1.14260525e-10
23.0,11.0,9.587556e-11
23.0,12.0,6.411623e-11
23.0,13.0,3.9968986e-11
23.0,14.0,2.5991688e-11
24.0,0.0,3.2257942e-13
24.0,1.0,1.8147627e-11
24.0,2.0,1.6763928e-10
24.0,3.0,1.1828323e-09
24.0,4.0,5.2878066e-09
24.0,5.0,1.5013663e-08
24.0,6.0,2.9508074e-08
24.0,7.0,4.9027022e-08
24.0,8.0,8.341693e-08
24.0,9.0,1.3395535e-07
24.0,10.0,1.6472796e-07
24.0,11.0,1.5409893e-07
24.0,12.0,1.1730007e-07
24.0,13.0,7.862545e-08
24.0,14.0,4.9500937e-08
25.0,0.0,5.1025957e-09
25.0,1.0,1.3982971e-08
25.0,2.0,3.841194e-08
25.0,3.0,1.1100337e-07
25.0,4.0,3.0420256e-07
25.0,5.0,7.080352e-07
25.0,6.0,1.4604519e-06
25.0,7.0,3.0388344e-06
25.0,8.0,6.5228683e-06
25.0,9.0,1.2697465e-05
25.0,10.0,1.9112524e-05
25.0,11.0,2.0990095e-05
25.0,12.0,1.8210654e-05
25.0,13.0,1.3786183e-05
25.0,14.0,1.0011448e-05
26.0,0.0,1.403758e-07
26.0,1.0,4.1718397e-07
26.0,2.0,1.0942897e-06
26.0,3.0,2.39476e-06
26.0,4.0,5.1056363e-06
26.0,5.0,1.17803775e-05
26.0,6.0,2.9743573e-05
26.0,7.0,7.318201e-05
26.0,8.0,0.00014808109
26.0,9.0,0.00021769757
26.0,10.0,0.0002424836
26.0,11.0,0.00022668888
26.0,12.0,0.00019646435
26.0,13.0,0.00017224919
26.0,14.0,0.00016403543
27.0,0.0,2.0078742e-06
27.0,1.0,4.6765845e-06
27.0,2.0,9.351487e-06
27.0,3.0,1.786937e-05
27.0,4.0,3.6607616e-05
27.0,5.0,8.139251e-05
27.0,6.0,0.00016803858
27.0,7.0,0.00027093795
