A_physical,E_physical,Yield_pred
65.99999998,0.0,1.7615382e-07
65.99999998,1.0,4.127935e-07
65.99999998,2.0,7.9925144e-07
65.99999998,3.0,1.3992857e-06
65.99999998,4.0,2.5917536e-06
65.99999998,5.0,5.442454e-06
65.99999998,6.0,1.2402917e-05
65.99999998,7.0,2.794258e-05
65.99999998,8.0,5.5521414e-05
65.99999998,9.0,8.7853645e-05
65.99999998,10.0,0.00010932347
65.99999998,11.0,0.00011569705
65.99999998,12.0,0.00011705361
65.99999998,13.0,0.0001305312
65.99999998,14.0,0.00018043538
67.0,0.0,3.7796488e-07
67.0,1.0,7.9912184e-07
67.0,2.0,1.5793802e-06
67.0,3.0,3.1200484e-06
67.0,4.0,6.08437e-06
67.0,5.0,1.2640558e-05
67.0,6.0,2.7682376e-05
67.0,7.0,5.6016943e-05
67.0,8.0,9.523545e-05
67.0,9.0,0.0001305782
67.0,10.0,0.0001492284
67.0,11.0,0.00015646426
67.0,12.0,0.00017043264
67.0,13.0,0.0002209806
67.0,14.0,0.0003741765
68.00000002,0.0,6.814768e-07
68.00000002,1.0,1.5551237e-06
68.00000002,2.0,3.2567464e-06
68.00000002,3.0,6.1996025e-06
68.00000002,4.0,1.1824605e-05
68.00000002,5.0,2.4034165e-05
68.00000002,6.0,4.8907757e-05
68.00000002,7.0,8.671737e-05
68.00000002,8.0,0.00012597085
68.00000002,9.0,0.00015202138
68.00000002,10.0,0.00016288999
68.00000002,11.0,0.0001722605
68.00000002,12.0,0.00020335962
68.00000002,13.0,0.00030149618
68.00000002,14.0,0.00057974545
69.00000004,0.0,1.0734198e-06
69.00000004,1.0,2.4334709e-06
69.00000004,2.0,4.651867e-06
69.00000004,3.0,8.779798e-06
69.00000004,4.0,1.7636852e-05
69.00000004,5.0,3.5071724e-05
69.00000004,6.0,6.4098094e-05
69.00000004,7.0,9.89336e-05
69.00000004,8.0,0.00012621479
69.00000004,9.0,0.00013921193
69.00000004,10.0,0.00014473288
69.00000004,11.0,0.000159259
69.00000004,12.0,0.00020950077
69.00000004,13.0,0.0003517402
69.00000004,14.0,0.0007417945
70.0,0.0,1.2707312e-06
70.0,1.0,2.9285404e-06
70.0,2.0,6.152293e-06
70.0,3.0,1.2620512e-05
70.0,4.0,2.5529112e-05
70.0,5.0,4.6947014e-05
70.0,6.0,7.397195e-05
70.0,7.0,9.7671335e-05
70.0,8.0,0.000110476234
70.0,9.0,0.000115364484
70.0,10.0,0.00012357195
70.0,11.0,0.00015237949
70.0,12.0,0.0002326706
70.0,13.0,0.00044719182
70.0,14.0,0.0010489207
71.00000002000002,0.0,2.2488189e-06
71.00000002000002,1.0,5.2168334e-06
71.00000002000002,2.0,1.2074466e-05
71.00000002000002,3.0,2.492283e-05
71.00000002000002,4.0,4.4396227e-05
71.00000002000002,5.0,6.86858e-05
71.00000002000002,6.0,9.114429e-05
71.00000002000002,7.0,0.00010504041
71.00000002000002,8.0,0.00011071798
71.00000002000002,9.0,0.000117517535
71.00000002000002,10.0,0.00013943306
71.00000002000002,11.0,0.00020014182
71.00000002000002,12.0,0.00035343895
71.00000002000002,13.0,0.00077192293
71.00000002000002,14.0,0.002118717
71.99999998000001,0.0,8.982089e-06
71.99999998000001,1.0,1.9543722e-05
71.99999998000001,2.0,3.805452e-05
71.99999998000001,3.0,6.5040724e-05
71.99999998000001,4.0,9.3566894e-05
71.99999998000001,5.0,0.00011611429
71.99999998000001,6.0,0.00012697597
71.99999998000001,7.0,0.0001287596
71.99999998000001,8.0,0.0001328184
71.99999998000001,9.0,0.0001539202
71.99999998000001,10.0,0.00021483259
71.99999998000001,11.0,0.00037609454
71.99999998000001,12.0,0.0008497752
71.99999998000001,13.0,0.002584541
71.99999998000001,14.0,0.0076701334
73.00000000000001,0.0,3.4892877e-05
73.00000000000001,1.0,7.191295e-05
73.00000000000001,2.0,0.00012167883
73.00000000000001,3.0,0.00017821442
73.00000000000001,4.0,0.00021909665
73.00000000000001,5.0,0.0002293653
73.00000000000001,6.0,0.00021772247
73.00000000000001,7.0,0.00020839587
73.00000000000001,8.0,0.00022667901
73.00000000000001,9.0,0.00030729928
73.00000000000001,10.0,0.00055132067
73.00000000000001,11.0,0.0013801329
73.00000000000001,12.0,0.0041044774
73.00000000000001,13.0,0.008654521
73.00000000000001,14.0,0.015135569
74.00000002,0.0,0.00017001927
74.00000002,1.0,0.0003778686
74.00000002,2.0,0.0005819459
74.00000002,3.0,0.00066115486
74.00000002,4.0,0.0006435843
74.00000002,5.0,0.00056375586
74.00000002,6.0,0.00048235303
74.00000002,7.0,0.00046539068
74.00000002,8.0,0.0005797986
74.00000002,9.0,0.0010292341
74.00000002,10.0,0.002490643
74.00000002,11.0,0.005252026
74.00000002,12.0,0.009617451
74.00000002,13.0,0.016496107
74.00000002,14.0,0.035013553
74.99999998,0.0,0.0010612685
74.99999998,1.0,0.0024821337
74.99999998,2.0,0.0032806194
74.99999998,3.0,0.003280105
74.99999998,4.0,0.0027789567
74.99999998,5.0,0.0020533395
74.99999998,6.0,0.0015496991
74.99999998,7.0,0.0015061636
74.99999998,8.0,0.0020850985
74.99999998,9.0,0.00359181
74.99999998,10.0,0.006058938
74.99999998,11.0,0.010440991
74.99999998,12.0,0.015713448
74.99999998,13.0,0.030428622
74.99999998,14.0,0.060381543
76.00000000000001,0.0,0.004368908
76.00000000000001,1.0,0.0065802163
76.00000000000001,2.0,0.0070235576
76.00000000000001,3.0,0.0066215917
76.00000000000001,4.0,0.00569432
76.00000000000001,5.0,0.0044621928
76.00000000000001,6.0,0.0036156902
76.00000000000001,7.0,0.0035155204
76.00000000000001,8.0,0.0044373674
76.00000000000001,9.0,0.0065950323
76.00000000000001,10.0,0.010257294
76.00000000000001,11.0,0.014658796
76.00000000000001,12.0,0.020737521
76.00000000000001,13.0,0.039286345
76.00000000000001,14.0,0.07686031
77.00000002000002,0.0,0.010236012
77.00000002000002,1.0,0.011800462
77.00000002000002,2.0,0.011333204
77.00000002000002,3.0,0.0097938115
77.00000002000002,4.0,0.008149929
77.00000002000002,5.0,0.006440854
77.00000002000002,6.0,0.0053580683
77.00000002000002,7.0,0.0054463763
77.00000002000002,8.0,0.006867193
77.00000002000002,9.0,0.009613977
77.00000002000002,10.0,0.013915082
77.00000002000002,11.0,0.019254945
77.00000002000002,12.0,0.02610886
77.00000002000002,13.0,0.04431769
77.00000002000002,14.0,0.07494826
77.99999998000001,0.0,0.02265189
77.99999998000001,1.0,0.021257602
77.99999998000001,2.0,0.017937066
77.99999998000001,3.0,0.014292693
77.99999998000001,4.0,0.011662701
77.99999998000001,5.0,0.00916145
77.99999998000001,6.0,0.008095806
77.99999998000001,7.0,0.008645642
77.99999998000001,8.0,0.010804148
77.99999998000001,9.0,0.014694536
77.99999998000001,10.0,0.019748919
77.99999998000001,11.0,0.026444394
77.99999998000001,12.0,0.0399079
77.99999998000001,13.0,0.061648685
77.99999998000001,14.0,0.083808936
79.00000000000001,0.0,0.039560504
79.00000000000001,1.0,0.033216584
79.00000000000001,2.0,0.028605143
79.00000000000001,3.0,0.023077024
79.00000000000001,4.0,0.017710047
79.00000000000001,5.0,0.015372853
79.00000000000001,6.0,0.014887241
79.00000000000001,7.0,0.016343419
79.00000000000001,8.0,0.019918617
79.00000000000001,9.0,0.026367683
79.00000000000001,10.0,0.03661287
