Z,A,E,Yield,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.9,0.342857143,0.0,0.0,1.242857143,1.1,1.242857143,1.3671428573,OE,0.3495507122026427,0.9341704280601256,2.9,0.7571428570000001,0,1,1,-1.3809523811126454,3.3482142847656253,2.142857143
-0.9,0.342857143,1.54e-05,1.54e-05,1.242857143,1.1,1.242857143,1.3671428573,OE,0.3495507122026427,0.9341704280601256,2.9,0.7571428570000001,0,1,1,-1.3809523811126454,3.3482142847656253,2.142857143
-0.883333333,0.342857143,0.0,0.0,1.226190476,1.116666667,1.226190476,1.3692460319420636,OE,0.35378907102675977,0.9311139085389585,2.883333333,0.773809524,0,1,1,-1.3881401620348317,3.244857801269339,2.109523809
-0.866666667,0.342857143,1.54e-05,1.54e-05,1.2095238099999999,1.133333333,1.2095238099999999,1.3707936509301586,OE,0.3580539875477185,0.9280049475199756,2.866666667,0.7904761900000001,0,1,1,-1.3956043956186854,3.1431216942631175,2.076190477
-0.9,0.342857143,0.0,0.0,1.242857143,1.1,1.242857143,1.3671428573,OE,0.3495507122026427,0.9341704280601256,2.9,0.7571428570000001,0,1,1,-1.3809523811126454,3.3482142847656253,2.142857143
-0.883333333,0.342857143,0.0,0.0,1.226190476,1.116666667,1.226190476,1.3692460319420636,OE,0.35378907102675977,0.9311139085389585,2.883333333,0.773809524,0,1,1,-1.3881401620348317,3.244857801269339,2.109523809
-0.866666667,0.342857143,3.09e-05,3.09e-05,1.2095238099999999,1.133333333,1.2095238099999999,1.3707936509301586,OE,0.3580539875477185,0.9280049475199756,2.866666667,0.7904761900000001,0,1,1,-1.3956043956186854,3.1431216942631175,2.076190477
-0.85,0.342857143,4.63e-05,4.63e-05,1.192857143,1.15,1.192857143,1.3717857144499999,OE,0.36234518816398137,0.9248440883974913,2.85,0.8071428570000001,0,1,1,-1.4033613447075333,3.0430059515386287,2.042857143
-0.833333333,0.342857143,0.000113455,9.61e-05,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.833333333,0.342857143,0.000106591,9.61e-05,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.833333333,0.342857143,0.000115086,9.61e-05,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.816666667,0.342857143,6.18e-05,6.18e-05,1.15952381,1.183333333,1.15952381,1.3721031747801589,OE,0.3710053004578757,0.9183689030439022,2.816666667,0.84047619,0,1,1,-1.419825072891606,2.84763558315707,1.976190477
-0.8,0.342857143,1.54e-05,1.54e-05,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.866666667,0.342857143,0.0,0.0,1.2095238099999999,1.133333333,1.2095238099999999,1.3707936509301586,OE,0.3580539875477185,0.9280049475199756,2.866666667,0.7904761900000001,0,1,1,-1.3956043956186854,3.1431216942631175,2.076190477
-0.85,0.342857143,1.54e-05,1.54e-05,1.192857143,1.15,1.192857143,1.3717857144499999,OE,0.36234518816398137,0.9248440883974913,2.85,0.8071428570000001,0,1,1,-1.4033613447075333,3.0430059515386287,2.042857143
-0.833333333,0.342857143,0.000177925,0.000155178,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.833333333,0.342857143,0.000150793,0.000155178,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.833333333,0.342857143,0.000150793,0.000155178,1.176190476,1.1666666669999999,1.176190476,1.3722222223920633,OE,0.3666623897629833,0.921631885442489,2.833333333,0.8238095240000001,0,1,1,-1.411428571766265,2.9445105792486497,2.009523809
-0.816666667,0.342857143,0.000303949,0.00020364,1.15952381,1.183333333,1.15952381,1.3721031747801589,OE,0.3710053004578757,0.9183689030439022,2.816666667,0.84047619,0,1,1,-1.419825072891606,2.84763558315707,1.976190477
-0.816666667,0.342857143,0.000282641,0.00020364,1.15952381,1.183333333,1.15952381,1.3721031747801589,OE,0.3710053004578757,0.9183689030439022,2.816666667,0.84047619,0,1,1,-1.419825072891606,2.84763558315707,1.976190477
-0.816666667,0.342857143,0.000250172,0.00020364,1.15952381,1.183333333,1.15952381,1.3721031747801589,OE,0.3710053004578757,0.9183689030439022,2.816666667,0.84047619,0,1,1,-1.419825072891606,2.84763558315707,1.976190477
-0.8,0.342857143,0.000553472,0.000473279,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.8,0.342857143,0.00050066,0.000473279,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
