Z_physical,E_physical,Yield_pred
34.0,10.0,5.804814
34.0,11.0,5.435355
34.0,12.0,5.1339025
34.0,13.0,4.81769
34.0,14.0,4.309282
35.0,0.0,5.2986784
35.0,1.0,5.8221855
35.0,2.0,6.3134303
35.0,3.0,6.713418
35.0,4.0,6.9943504
35.0,5.0,7.164873
35.0,6.0,7.2557526
35.0,7.0,7.3075514
35.0,8.0,7.3086343
35.0,9.0,7.153511
35.0,10.0,6.9085436
35.0,11.0,6.539813
35.0,12.0,5.987345
35.0,13.0,5.632062
35.0,14.0,4.6187854
36.00000000000001,0.0,14.320358
36.00000000000001,1.0,14.639965
36.00000000000001,2.0,14.629451
36.00000000000001,3.0,14.337739
36.00000000000001,4.0,13.717395
36.00000000000001,5.0,12.76069
36.00000000000001,6.0,11.87956
36.00000000000001,7.0,11.270989
36.00000000000001,8.0,10.743849
36.00000000000001,9.0,10.254356
36.00000000000001,10.0,9.875032
36.00000000000001,11.0,9.583348
36.00000000000001,12.0,9.131926
36.00000000000001,13.0,8.612113
36.00000000000001,14.0,8.160731
37.0,0.0,13.705124
37.0,1.0,14.146643
37.0,2.0,14.426009
37.0,3.0,14.54624
37.0,4.0,14.4584055
37.0,5.0,14.116125
37.0,6.0,13.524294
37.0,7.0,12.762267
37.0,8.0,11.979947
37.0,9.0,11.26881
37.0,10.0,10.557508
37.0,11.0,9.812426
37.0,12.0,9.126988
37.0,13.0,8.627593
37.0,14.0,8.233957
38.0,0.0,18.67168
38.0,1.0,19.260307
38.0,2.0,19.769117
38.0,3.0,20.142456
38.0,4.0,20.14804
38.0,5.0,19.486465
38.0,6.0,18.241709
38.0,7.0,16.73682
38.0,8.0,15.420534
38.0,9.0,14.391535
38.0,10.0,13.562669
38.0,11.0,12.925448
38.0,12.0,12.509416
38.0,13.0,12.236879
38.0,14.0,11.66203
39.0,0.0,9.311106
39.0,1.0,10.366387
39.0,2.0,11.250981
39.0,3.0,11.826063
39.0,4.0,12.148801
39.0,5.0,12.278486
39.0,6.0,12.309257
39.0,7.0,12.282861
39.0,8.0,12.081732
39.0,9.0,11.676621
39.0,10.0,11.1878805
39.0,11.0,10.704053
39.0,12.0,10.087948
39.0,13.0,9.443762
39.0,14.0,8.948318
40.0,0.0,14.544568
40.0,1.0,15.591622
40.0,2.0,16.187197
40.0,3.0,16.57812
40.0,4.0,16.756023
40.0,5.0,16.699896
40.0,6.0,16.322357
40.0,7.0,15.44645
40.0,8.0,14.304206
40.0,9.0,13.353109
40.0,10.0,12.592889
40.0,11.0,11.956068
40.0,12.0,11.424672
40.0,13.0,10.969217
40.0,14.0,10.563596
41.0,0.0,6.442325
41.0,1.0,7.244399
41.0,2.0,7.923458
41.0,3.0,8.739889
41.0,4.0,9.453019
41.0,5.0,9.907526
41.0,6.0,10.112016
41.0,7.0,10.146944
41.0,8.0,10.063001
41.0,9.0,9.894003
41.0,10.0,9.696573
41.0,11.0,9.53366
41.0,12.0,9.318749
41.0,13.0,8.857599
41.0,14.0,8.241323
42.0,0.0,4.0323353
42.0,1.0,5.4695187
42.0,2.0,6.6948495
42.0,3.0,7.7440634
42.0,4.0,8.530882
42.0,5.0,9.009838
42.0,6.0,9.182858
42.0,7.0,9.11417
42.0,8.0,8.857369
42.0,9.0,8.50275
42.0,10.0,8.218295
42.0,11.0,8.048718
42.0,12.0,7.6809464
42.0,13.0,7.1185894
42.0,14.0,6.5202355
43.0,0.0,0.1984038
43.0,1.0,0.29503214
43.0,2.0,0.43769574
43.0,3.0,0.6636582
43.0,4.0,1.0036956
43.0,5.0,1.4446464
43.0,6.0,1.9690053
43.0,7.0,2.6004715
43.0,8.0,3.304552
43.0,9.0,3.9473867
43.0,10.0,4.42545
43.0,11.0,4.7049656
43.0,12.0,4.7824955
43.0,13.0,4.687147
43.0,14.0,4.475589
44.0,0.0,0.0507843
44.0,1.0,0.06923303
44.0,2.0,0.09665793
44.0,3.0,0.13953751
44.0,4.0,0.20895773
44.0,5.0,0.31506553
44.0,6.0,0.46708184
44.0,7.0,0.69647133
44.0,8.0,1.0477388
44.0,9.0,1.494103
44.0,10.0,1.9464967
44.0,11.0,2.3939543
44.0,12.0,2.8212461
44.0,13.0,3.1866224
44.0,14.0,3.4405954
45.0,0.0,0.03287297
45.0,1.0,0.05213227
45.0,2.0,0.09317676
45.0,3.0,0.17261833
45.0,4.0,0.3032492
45.0,5.0,0.47234613
45.0,6.0,0.65461206
45.0,7.0,0.8763463
45.0,8.0,1.1641375
45.0,9.0,1.4793348
45.0,10.0,1.7936316
45.0,11.0,2.0617378
45.0,12.0,2.2525797
45.0,13.0,2.3601007
45.0,14.0,2.3790293
46.0,0.0,0.037581526
46.0,1.0,0.055985495
46.0,2.0,0.08739514
46.0,3.0,0.14092991
46.0,4.0,0.22497128
46.0,5.0,0.34395742
46.0,6.0,0.510907
46.0,7.0,0.74267644
46.0,8.0,1.0294093
46.0,9.0,1.3516846
46.0,10.0,1.6908252
46.0,11.0,2.065064
46.0,12.0,2.4880226
46.0,13.0,2.9380233
46.0,14.0,3.4148383
46.99999999,0.0,0.04785021
46.99999999,1.0,0.065193415
46.99999999,2.0,0.094332516
46.99999999,3.0,0.14008403
46.99999999,4.0,0.20412646
46.99999999,5.0,0.28858158
46.99999999,6.0,0.40320802
46.99999999,7.0,0.5739142
46.99999999,8.0,0.8073275
46.99999999,9.0,1.0849224
46.99999999,10.0,1.3661461
46.99999999,11.0,1.605953
46.99999999,12.0,1.7762119
46.99999999,13.0,1.8704948
46.99999999,14.0,1.9001676
48.0,0.0,0.056073777
48.0,1.0,0.077938706
48.0,2.0,0.111737676
48.0,3.0,0.16482759
48.0,4.0,0.24100527
48.0,5.0,0.341576
48.0,6.0,0.50409144
48.0,7.0,0.7686286
48.0,8.0,1.1536018
48.0,9.0,1.6024361
48.0,10.0,2.0013454
48.0,11.0,2.3204002
48.0,12.0,2.5437467
48.0,13.0,2.6762583
48.0,14.0,2.7294664
49.0,0.0,0.18516152
49.0,1.0,0.24899921
49.0,2.0,0.3367036
49.0,3.0,0.4589868
49.0,4.0,0.63194406
49.0,5.0,0.8677582
49.0,6.0,1.1703777
49.0,7.0,1.5254884
49.0,8.0,1.9035969
49.0,9.0,2.2764785
49.0,10.0,2.637818
49.0,11.0,2.9792483
49.0,12.0,3.2877188
49.0,13.0,3.5534143
49.0,14.0,3.7549143
50.0,0.0,3.1841753
50.0,1.0,4.211375
50.0,2.0,5.3902926
50.0,3.0,6.554988
50.0,4.0,7.615617
50.0,5.0,8.506497
50.0,6.0,9.208801
50.0,7.0,9.728602
50.0,8.0,10.00393
50.0,9.0,10.055519
50.0,10.0,9.9292145
50.0,11.0,9.689177
50.0,12.0,9.399258
50.0,13.0,9.05559
50.0,14.0,8.5644245
51.0,0.0,4.7530503
51.0,1.0,5.7230353
51.0,2.0,6.5798383
51.0,3.0,7.332927
51.0,4.0,8.016904
51.0,5.0,8.709309
51.0,6.0,9.3677845
51.0,7.0,9.905346
51.0,8.0,10.306684
51.0,9.0,10.55865
51.0,10.0,10.685567
51.0,11.0,10.707269
51.0,12.0,10.611499
51.0,13.0,10.351691
51.0,14.0,9.953782
52.0,0.0,14.351603
52.0,1.0,15.347676
52.0,2.0,15.8627
52.0,3.0,16.427004
52.0,4.0,16.766798
52.0,5.0,16.80136
52.0,6.0,16.757896
52.0,7.0,16.771198
52.0,8.0,16.744122
52.0,9.0,16.452885
52.0,10.0,15.773994
52.0,11.0,14.925455
52.0,12.0,13.957167
52.0,13.0,13.011272
52.0,14.0,12.019893
53.0,0.0,9.222408
53.0,1.0,10.096617
53.0,2.0,11.063117
53.0,3.0,12.060319
53.0,4.0,12.831057
53.0,5.0,13.558341
53.0,6.0,14.329286
53.0,7.0,15.052072
53.0,8.0,15.548805
53.0,9.0,15.8363495
53.0,10.0,15.971406
53.0,11.0,16.026241
53.0,12.0,15.99923
53.0,13.0,15.863587
53.0,14.0,15.512227
54.0,0.0,18.293512
54.0,1.0,19.574518
54.0,2.0,20.419144
54.0,3.0,21.041649
54.0,4.0,21.477364
54.0,5.0,21.582754
54.0,6.0,21.06003
54.0,7.0,20.143854
54.0,8.0,19.400301
54.0,9.0,18.701206
54.0,10.0,18.00407
54.0,11.0,17.367464
54.0,12.0,16.789843
54.0,13.0,16.194805
54.0,14.0,15.497765
55.0,0.0,11.274715
55.0,1.0,12.775307
55.0,2.0,13.737743
55.0,3.0,14.09452
55.0,4.0,13.939108
55.0,5.0,13.633925
55.0,6.0,13.403299
55.0,7.0,13.290562
55.0,8.0,13.263936
55.0,9.0,13.35318
55.0,10.0,13.574649
55.0,11.0,13.869917
55.0,12.0,14.075133
55.0,13.0,14.135443
55.0,14.0,14.145325
56.00000000000001,0.0,16.91557
56.00000000000001,1.0,16.935658
56.00000000000001,2.0,16.924751
56.00000000000001,3.0,16.71248
56.00000000000001,4.0,16.239222
56.00000000000001,5.0,15.466601
56.00000000000001,6.0,14.623554
56.00000000000001,7.0,13.9057045
56.00000000000001,8.0,13.294083
56.00000000000001,9.0,12.714831
56.00000000000001,10.0,12.139145
56.00000000000001,11.0,11.566364
56.00000000000001,12.0,11.12099
56.00000000000001,13.0,10.871215
56.00000000000001,14.0,10.834231
57.00000000000001,0.0,6.479194
57.00000000000001,1.0,6.777521
57.00000000000001,2.0,7.0371385
57.00000000000001,3.0,7.212356
57.00000000000001,4.0,7.2862673
57.00000000000001,5.0,7.2799354
57.00000000000001,6.0,7.222684
57.00000000000001,7.0,7.128869
57.00000000000001,8.0,6.999631
57.00000000000001,9.0,6.838526
57.00000000000001,10.0,6.642565
57.00000000000001,11.0,6.4146442
57.00000000000001,12.0,6.1583986
57.00000000000001,13.0,5.848418
57.00000000000001,14.0,5.479186
58.0,0.0,2.6900146
58.0,1.0,3.187997
58.0,2.0,3.7489307
58.0,3.0,4.3608627
58.0,4.0,4.9862227
58.0,5.0,5.4990005
58.0,6.0,5.8196115
58.0,7.0,5.9317293
58.0,8.0,5.8613777
58.0,9.0,5.650897
58.0,10.0,5.352293
58.0,11.0,5.02336
58.0,12.0,4.6919427
58.0,13.0,4.3655906
58.0,14.0,4.0417805
59.0,0.0,0.9535346
59.0,1.0,1.1563138
59.0,2.0,1.3470548
59.0,3.0,1.5102601
59.0,4.0,1.6400733
59.0,5.0,1.7344939
