feature,pearson_corr,pearson_p,spearman_corr,spearman_p,abs_spearman
Z,-0.03562736512570679,0.022091157873900806,-0.10476298132432416,1.512578215929095e-11,0.10476298132432416
A,-0.03375561557410517,0.03012216898218798,-0.0981694495946628,2.6167340781132505e-10,0.0981694495946628
N,-0.009359482549601365,0.5477731270534395,-0.02191968070762811,0.15916044454390635,0.02191968070762811
E,-0.07163230912035685,4.098821859108703e-06,0.012731527219552086,0.41353952099362445,0.012731527219552086
Z_magic_prox,-0.035822386369898554,0.021372783515053704,-0.10476298132432416,1.512578215929095e-11,0.10476298132432416
N_magic_prox,-0.00931407120433809,0.5497173166460435,-0.022311426325830382,0.15183816755797466,0.022311426325830382
Z_magic_dist,0.035627365125706786,0.022091157873900806,0.10476298132432416,1.512578215929095e-11,0.10476298132432416
N_magic_dist,0.009359482549601403,0.5477731270534272,0.0221812149127879,0.15424299812494527,0.0221812149127879
N_over_Z,-0.000905179581633374,0.953642927700376,0.1742082324046377,1.75651870792558e-29,0.1742082324046377
symmetry_energy,0.023726408969248675,0.12751411383497446,-0.113723775368891,2.3469395536452693e-13,0.113723775368891
mass_excess,0.034950792716935415,0.024748545452451334,0.10802333826731879,3.45451082757373e-12,0.10802333826731879
