Z,A,E,Yield,Error,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.9,-0.866666667,0.2,1.32e-17,6.62e-20,0.033333333000000076,1.1,0.033333333000000076,0.03666666630000009,OE,0.3495507122026427,0.6169971033959413,2.9,1.966666667,0,1,1,-0.0370370366667079,-0.2512820510059172,0.9333333330000001
-0.8625,-0.866666667,0.2,5.36e-13,2.69e-15,-0.004166666999999902,1.1375,1.9958333330000002,2.2702604162875,OE,0.35912433455552534,0.6055997338972,2.8625,2.004166667,0,0,0,0.004830918260875052,-0.21252003180447954,0.8583333330000001
-0.8625,-0.85,0.2,7.26e-14,3.63e-16,0.012500000000000067,1.1375,0.012500000000000067,0.014218750000000075,OE,0.35912433455552534,0.6106653750863674,2.8625,1.9874999999999998,0,1,1,-0.014492753623205285,-0.22518382352941183,0.8750000000000001
-0.8625,-0.833333333,0.2,2.75e-15,1.37e-17,0.029166667000000035,1.1375,0.029166667000000035,0.03317708371250004,OE,0.35912433455552534,0.6157308447683305,2.8625,1.9708333329999999,0,1,1,-0.03381642550728562,-0.23852083360707502,0.8916666670000001
-0.8625,-0.816666666,0.2,2.39e-17,1.2e-19,0.045833334,1.1375,0.045833334,0.052135417425000004,OE,0.35912433455552534,0.6207954441915747,2.8625,1.9541666659999999,0,1,1,-0.05314009739136596,-0.25257227948849437,0.908333334
-0.8625,-0.8,0.2,0.0,0.0,0.0625,1.1375,0.0625,0.07109375,OE,0.35912433455552534,0.6258584689866125,2.8625,1.9375,0,1,1,-0.07246376811602603,-0.2673828125,0.925
-0.825,-0.866666667,0.2,1.12e-10,1.19e-12,-0.04166666699999999,1.175,1.9583333330000001,2.301041666275,OE,0.36883065001085036,0.5942049962393863,2.825,2.041666667,0,0,0,0.05050505090915212,-0.17700320490948596,0.783333333
-0.825,-0.85,0.2,1.09e-10,1.17e-12,-0.025000000000000022,1.175,1.975,2.320625,OE,0.36883065001085036,0.5992684970933813,2.825,2.025,0,0,0,0.030303030303067063,-0.18823529411764703,0.7999999999999999
-0.825,-0.833333333,0.2,1.53e-11,7.64e-14,-0.008333333000000054,1.175,1.991666667,2.340208333725,OE,0.36883065001085036,0.6043333783961037,2.825,2.008333333,0,0,0,0.010101009696982006,-0.20008333357669994,0.8166666669999999
-0.825,-0.816666666,0.2,9.26e-13,4.63e-15,0.008333333999999915,1.175,0.008333333999999915,0.0097916674499999,OE,0.36883065001085036,0.6093989539198669,2.825,1.991666666,0,1,1,-0.010101010909103049,-0.2125850345272802,0.8333333339999999
-0.825,-0.8,0.2,4.49e-14,2.25e-16,0.02499999999999991,1.175,0.02499999999999991,0.029374999999999898,OE,0.36883065001085036,0.614464531471599,2.825,1.975,0,1,1,-0.030303030303066927,-0.22578124999999993,0.8499999999999999
-0.825,-0.783333333,0.2,0.0,0.0,0.04166666699999999,1.175,0.04166666699999999,0.04895833372499999,OE,0.36883065001085036,0.6195294142608204,2.825,1.9583333330000001,0,1,1,-0.05050505090915212,-0.23971631234314167,0.866666667
-0.825,-0.766666667,0.2,7.32e-17,3.66e-19,0.05833333299999999,1.175,0.05833333299999999,0.06854166627499998,OE,0.36883065001085036,0.6245928989277886,2.825,1.941666667,0,1,1,-0.070707070303116,-0.2544384054944471,0.8833333329999999
-0.825,-0.75,0.2,1.81e-19,9.06e-22,0.07499999999999996,1.175,0.07499999999999996,0.08812499999999995,OE,0.36883065001085036,0.6296542781333231,2.825,1.925,0,1,1,-0.09090909090920105,-0.26999999999999996,0.8999999999999999
-0.7875,-0.866666667,0.2,5.79e-09,4.11e-11,-0.07916666699999997,1.2125,1.920833333,2.3290104162625,OE,0.3786663491459541,0.5828206815085692,2.7875,2.079166667,0,0,0,0.10052910095250857,-0.1447315703209366,0.708333333
-0.7875,-0.85,0.2,7.16e-09,7.49e-11,-0.0625,1.2125,1.9375,2.34921875,OE,0.3786663491459541,0.5878785976638901,2.7875,2.0625,0,0,0,0.07936507936518014,-0.15459558823529412,0.725
-0.7875,-0.833333333,0.2,5.22e-09,5.53e-11,-0.04583333300000003,1.2125,1.954166667,2.3694270837375,OE,0.3786663491459541,0.5929394168149633,2.7875,2.045833333,0,0,0,0.05820105777785172,-0.16502083354767497,0.741666667
-0.7875,-0.816666666,0.2,1.1e-09,1.17e-11,-0.029166666000000063,1.2125,1.970833334,2.3896354174749996,OE,0.3786663491459541,0.59800246601146,2.7875,2.029166666,0,0,0,0.0370370361905233,-0.1760416671198979,0.7583333339999999
-0.7875,-0.8,0.2,3.09e-10,3.29e-12,-0.012500000000000067,1.2125,1.9874999999999998,2.4098437499999994,OE,0.3786663491459541,0.603067066007544,2.7875,2.0125,0,0,0,0.015873015873036113,-0.18769531249999993,0.7749999999999999
-0.7875,-0.783333333,0.2,5.74e-11,2.87e-13,0.004166667000000013,1.2125,0.004166667000000013,0.005052083737500015,OE,0.3786663491459541,0.6081325326220718,2.7875,1.995833333,0,1,1,-0.0052910057142924495,-0.2000221633741229,0.791666667
-0.7875,-0.766666667,0.2,7.23e-12,3.61e-14,0.02083333300000001,1.2125,0.02083333300000001,0.02526041626250001,OE,0.3786663491459541,0.6131981747593522,2.7875,1.9791666669999999,0,1,1,-0.026455026031779637,-0.2130661229200437,0.808333333
